system:index,evaporation_from_bare_soil_sum,date,.geo
20030625,-4.22E-04,2003-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030626,-5.48E-04,2003-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030627,-5.54E-04,2003-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030628,-4.99E-04,2003-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030629,-1.93E-04,2003-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030630,-8.28E-04,2003-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030701,-9.82E-04,2003-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030702,-0.00106542,2003-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030703,-7.87E-04,2003-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030704,-9.63E-04,2003-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030705,-4.81E-04,2003-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030706,-5.99E-04,2003-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030707,-2.53E-04,2003-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030708,-5.06E-04,2003-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030709,-2.37E-04,2003-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030710,-7.08E-04,2003-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030711,-9.50E-04,2003-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030712,-9.14E-04,2003-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030713,-9.81E-04,2003-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030714,-0.001003937,2003-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030715,-6.78E-04,2003-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030716,-2.99E-04,2003-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030717,-6.67E-04,2003-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030718,-0.001045083,2003-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030719,-8.26E-04,2003-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030720,-0.001180561,2003-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030721,-0.001401558,2003-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030722,-0.001282308,2003-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030723,-5.99E-04,2003-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030724,-7.17E-05,2003-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030725,-4.54E-05,2003-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030726,-4.10E-04,2003-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030727,-7.55E-06,2003-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030728,-4.20E-04,2003-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030729,-0.001217936,2003-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030730,-0.001582178,2003-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030731,-0.001556568,2003-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030801,-0.001209787,2003-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030802,-0.001040461,2003-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030803,-5.20E-04,2003-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030804,-6.03E-04,2003-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030805,-0.001025943,2003-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030806,-5.24E-04,2003-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030807,-9.74E-04,2003-08-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030808,-2.56E-04,2003-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030809,-9.98E-04,2003-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030810,-0.001398761,2003-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030811,-0.001467361,2003-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030812,-0.001286281,2003-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030813,-9.63E-04,2003-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030814,-7.85E-04,2003-08-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030815,-9.82E-04,2003-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030816,-0.001567926,2003-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030817,-0.001536357,2003-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030818,-0.001356853,2003-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030819,-5.90E-04,2003-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030820,-0.001097586,2003-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030821,-0.001273862,2003-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030822,-6.19E-04,2003-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030823,-1.46E-04,2003-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030824,-6.76E-04,2003-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030825,-0.001074015,2003-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030826,-0.001030212,2003-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030827,-0.001064747,2003-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030828,-7.98E-04,2003-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030829,-6.73E-04,2003-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030830,-0.001031538,2003-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030831,-0.001393616,2003-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030901,-0.001461793,2003-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030902,-0.001068639,2003-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030903,-6.13E-04,2003-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030904,-0.001106587,2003-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030905,-0.001120554,2003-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030906,-0.001247257,2003-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030907,-0.00146796,2003-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030908,-0.001340752,2003-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030909,-0.001966058,2003-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030910,-0.001396902,2003-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030911,-0.001180422,2003-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030912,-0.001506942,2003-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030913,-0.001328697,2003-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030914,-0.001534279,2003-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030915,-0.001450019,2003-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030916,-0.001633098,2003-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030917,-0.002081234,2003-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030918,-0.001763318,2003-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030919,-0.001867679,2003-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030920,-0.001603525,2003-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030921,-0.001642732,2003-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030922,-0.001160293,2003-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030923,-7.00E-04,2003-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030924,-7.48E-04,2003-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030925,-6.57E-04,2003-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030926,-4.28E-04,2003-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030927,-3.32E-04,2003-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030928,-7.09E-04,2003-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030929,-0.001375151,2003-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030930,-0.00192127,2003-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031001,-0.001871106,2003-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031002,-0.001811413,2003-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031003,-0.002977713,2003-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031004,-0.003106076,2003-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031005,-0.003113357,2003-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031006,-0.00298028,2003-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031007,-0.001788652,2003-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031008,-0.001897773,2003-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031009,-0.001923509,2003-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031010,-0.001933238,2003-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031011,-0.00227814,2003-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031012,-0.002586724,2003-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031013,-0.002720683,2003-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031014,-0.002590795,2003-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031015,-0.002961546,2003-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031016,-0.002904487,2003-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031017,-0.002808979,2003-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031018,-0.002640919,2003-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031019,-0.002492624,2003-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031020,-0.00240142,2003-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031021,-0.002436213,2003-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031022,-0.002378433,2003-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031023,-0.002323827,2003-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031024,-0.002239998,2003-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031025,-0.002123809,2003-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031026,-0.00217278,2003-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031027,-0.00212514,2003-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031028,-0.002032217,2003-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031029,-0.001829851,2003-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031030,-0.001343168,2003-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
